Photon    Incoher. Photoel. Nuclear  
Energy    Scatter. Absorb.  Pr. Prd. 

1.000E-01 2.924E+00 2.057E-02 0.000E+00 
1.500E-01 2.647E+00 5.397E-03 0.000E+00 
2.000E-01 2.431E+00 2.121E-03 0.000E+00 
3.000E-01 2.118E+00 5.944E-04 0.000E+00 
4.000E-01 1.899E+00 2.536E-04 0.000E+00 
5.000E-01 1.735E+00 1.364E-04 0.000E+00 
6.000E-01 1.605E+00 8.482E-05 0.000E+00 
8.000E-01 1.410E+00 4.277E-05 0.000E+00 
1.000E+00 1.268E+00 2.659E-05 0.000E+00 
1.022E+00 1.255E+00 2.452E-05 0.000E+00 
1.250E+00 1.134E+00 1.665E-05 2.870E-04 
1.500E+00 1.031E+00 1.209E-05 1.594E-03 
2.000E+00 8.795E-01 7.631E-06 6.356E-03 
2.044E+00 8.687E-01 7.384E-06 6.852E-03 
3.000E+00 6.920E-01 4.282E-06 1.820E-02 
4.000E+00 5.772E-01 2.947E-06 2.955E-02 
5.000E+00 4.985E-01 2.239E-06 3.966E-02 
6.000E+00 4.406E-01 1.802E-06 4.876E-02 
7.000E+00 3.960E-01 1.507E-06 5.687E-02 
8.000E+00 3.604E-01 1.294E-06 6.418E-02 
9.000E+00 3.313E-01 1.134E-06 7.082E-02 
1.000E+01 3.069E-01 1.009E-06 7.686E-02 
