Photon    Incoher. Photoel. Nuclear  
Energy    Scatter. Absorb.  Pr. Prd. 

1.000E-01 4.923E-01 1.644E-06 0.000E+00 
1.500E-01 4.435E-01 4.176E-07 0.000E+00 
2.000E-01 4.064E-01 1.611E-07 0.000E+00 
3.000E-01 3.535E-01 4.414E-08 0.000E+00 
4.000E-01 3.168E-01 1.858E-08 0.000E+00 
5.000E-01 2.893E-01 9.927E-09 0.000E+00 
6.000E-01 2.676E-01 6.158E-09 0.000E+00 
8.000E-01 2.351E-01 3.118E-09 0.000E+00 
1.000E+00 2.114E-01 1.961E-09 0.000E+00 
1.022E+00 2.092E-01 1.880E-09 0.000E+00 
1.250E+00 1.890E-01 1.304E-09 7.805E-06 
1.500E+00 1.718E-01 9.732E-10 4.385E-05 
2.000E+00 1.466E-01 6.201E-10 1.758E-04 
2.044E+00 1.448E-01 6.004E-10 1.895E-04 
3.000E+00 1.153E-01 3.524E-10 5.048E-04 
4.000E+00 9.620E-02 2.444E-10 8.202E-04 
5.000E+00 8.308E-02 1.866E-10 1.102E-03 
6.000E+00 7.343E-02 1.508E-10 1.355E-03 
7.000E+00 6.600E-02 1.264E-10 1.580E-03 
8.000E+00 6.007E-02 1.088E-10 1.784E-03 
9.000E+00 5.522E-02 9.546E-11 1.970E-03 
1.000E+01 5.116E-02 8.503E-11 2.138E-03 
